stationid,Est: Total,MoE: Total,Est: Total: White alone,MoE: Total: White alone,Est: Total: Black or African American alone,MoE: Total: Black or African American alone,Est: Total: American Indian and Alaska Native alone,MoE: Total: American Indian and Alaska Native alone,Est: Total: Asian alone,MoE: Total: Asian alone,Est: Total: Native Hawaiian and Other Pacific Islander alone,MoE: Total: Native Hawaiian and Other Pacific Islander alone,Est: Total: Some other race alone,MoE: Total: Some other race alone,Est: Total: Two or more races,MoE: Total: Two or more races,Est: Total: Two or more races: Two races including Some other race,MoE: Total: Two or more races: Two races including Some other race,"Est: Total: Two or more races: Two races excluding Some other race, and three or more races","MoE: Total: Two or more races: Two races excluding Some other race, and three or more races",NAME,state,county,tract,Estimate!!Total,Margin of Error!!Total,Estimate!!Total!!Not Hispanic or Latino,Margin of Error!!Total!!Not Hispanic or Latino,Estimate!!Total!!Not Hispanic or Latino!!White alone,Margin of Error!!Total!!Not Hispanic or Latino!!White alone,Estimate!!Total!!Not Hispanic or Latino!!Black or African American alone,Margin of Error!!Total!!Not Hispanic or Latino!!Black or African American alone,Estimate!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone,Margin of Error!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone,Estimate!!Total!!Not Hispanic or Latino!!Asian alone,Margin of Error!!Total!!Not Hispanic or Latino!!Asian alone,Estimate!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone,Margin of Error!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone,Estimate!!Total!!Not Hispanic or Latino!!Some other race alone,Margin of Error!!Total!!Not Hispanic or Latino!!Some other race alone,Estimate!!Total!!Not Hispanic or Latino!!Two or more races,Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races,Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race,Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race,"Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races",Estimate!!Total!!Hispanic or Latino,Margin of Error!!Total!!Hispanic or Latino,Estimate!!Total!!Hispanic or Latino!!White alone,Margin of Error!!Total!!Hispanic or Latino!!White alone,Estimate!!Total!!Hispanic or Latino!!Black or African American alone,Margin of Error!!Total!!Hispanic or Latino!!Black or African American alone,Estimate!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone,Margin of Error!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone,Estimate!!Total!!Hispanic or Latino!!Asian alone,Margin of Error!!Total!!Hispanic or Latino!!Asian alone,Estimate!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone,Margin of Error!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone,Estimate!!Total!!Hispanic or Latino!!Some other race alone,Margin of Error!!Total!!Hispanic or Latino!!Some other race alone,Estimate!!Total!!Hispanic or Latino!!Two or more races,Margin of Error!!Total!!Hispanic or Latino!!Two or more races,Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race,Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race,"Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races",Est: Poverty Status Past 12 Months,Est: Poverty Status Past 12 Months (White),Est: Poverty Status Past 12 Months (Black),Est: Poverty Status Past 12 Months (Native American),Est: Poverty Status Past 12 Months (Asian),Est: Poverty Status Past 12 Months (Native Hawiian/Pacific Islander),Est: Poverty Status Past 12 Months (Other),Est: Poverty Status Past 12 Months (Two or more races),Est: Poverty Status Past 12 Months (Non-Hispanic White),Est: Poverty Status Past 12 Months (Hispanic or Latino)
78.0,16564,1828,8297,1750,1567,637,62,105,3602,1111,7,67,2364,1178,665,547,181,249,484,478,"Census Tract 31, Queens County, New YorkCensus Tract 47, Queens County, New YorkCensus Tract 51, Queens County, New YorkCensus Tract 53, Queens County, New YorkCensus Tract 55, Queens County, New YorkCensus Tract 57, Queens County, New York",216,486,29400,16564,1828,10975,1501,5632,1143,1291,524,9,67,3488,1070,0,66,142,214,413,412,84,158,329,378,5589,1728,2665,1317,276,346,53,104,114,209,7,67,2222,1177,252,346,97,169,155,270,3521,1475,493,20,997,0,349,187,810,1197
79.0,28271,3069,19107,2992,822,733,39,110,4504,1506,0,76,2849,1838,950,711,295,328,655,592,"Census Tract 53, Queens County, New YorkCensus Tract 57, Queens County, New YorkCensus Tract 59, Queens County, New YorkCensus Tract 61, Queens County, New YorkCensus Tract 63, Queens County, New YorkCensus Tract 75, Queens County, New York",216,486,36800,28271,3069,20260,2535,14548,2230,461,378,0,76,4468,1500,0,76,216,299,567,510,127,212,440,445,8011,2860,4559,2277,361,511,39,110,36,117,0,76,2633,1812,383,453,168,225,215,344,4516,2680,117,0,1160,0,336,223,1783,1294
80.0,3583,490,1699,435,574,210,39,98,1038,343,0,55,72,84,161,166,0,55,161,166,"Census Tract 84, New York County, New YorkCensus Tract 96, New York County, New YorkCensus Tract 109, New York County, New YorkCensus Tract 113, New York County, New YorkCensus Tract 119, New York County, New York",180,305,52100,3583,490,3170,517,1498,403,464,216,12,63,1038,343,0,55,0,55,158,171,0,55,158,171,413,213,201,170,110,95,27,90,0,55,0,55,72,84,3,50,0,55,3,50,977,377,302,12,211,0,52,23,275,219
81.0,12040,1468,9110,1398,317,296,39,114,2240,769,0,71,113,190,221,242,57,145,164,198,"Census Tract 80, New York County, New YorkCensus Tract 82, New York County, New YorkCensus Tract 84, New York County, New YorkCensus Tract 92, New York County, New YorkCensus Tract 94, New York County, New YorkCensus Tract 96, New York County, New York",216,366,52800,12040,1468,11371,1444,8596,1366,288,272,12,79,2240,769,0,71,48,113,187,244,57,145,130,179,669,428,514,382,29,97,27,106,0,71,0,71,65,148,34,87,0,71,34,87,1169,736,80,12,332,0,0,9,601,149
82.0,22863,2166,8062,1419,10992,2034,122,204,1523,833,0,65,1309,896,855,520,233,268,622,411,"Census Tract 305, Kings County, New YorkCensus Tract 221, Kings County, New YorkCensus Tract 215, Kings County, New YorkCensus Tract 217, Kings County, New YorkCensus Tract 219, Kings County, New York",180,235,117700,22863,2166,19837,2194,7233,1384,10472,2026,122,204,1493,831,0,65,16,70,501,349,58,133,443,304,3026,1207,829,495,520,490,0,65,30,90,0,65,1293,892,354,339,175,254,179,218,4293,950,2311,35,321,0,351,325,760,885
83.0,26418,2888,4340,2024,3615,1462,156,253,9357,2492,0,88,7296,2587,1654,1013,889,676,765,618,"Census Tract 94, Queens County, New YorkCensus Tract 96, Queens County, New YorkCensus Tract 98, Queens County, New YorkCensus Tract 100, Queens County, New YorkCensus Tract 104, Queens County, New YorkCensus Tract 108, Queens County, New YorkCensus Tract 110, Queens County, New YorkCensus Tract 112, Queens County, New York",288,648,82200,26418,2888,20854,2655,1748,874,3522,1435,141,238,9268,2488,0,88,4782,1946,1393,895,672,522,721,611,5564,2289,2592,1764,93,159,15,103,89,190,0,88,2514,1630,261,332,217,296,44,108,4850,841,488,85,2004,0,1328,104,208,1106
84.0,39748,3856,32972,3509,852,595,167,314,4045,1688,0,107,596,539,1116,806,92,175,1024,783,"Census Tract 55.01, New York County, New YorkCensus Tract 59, New York County, New YorkCensus Tract 63, New York County, New YorkCensus Tract 65, New York County, New YorkCensus Tract 67, New York County, New YorkCensus Tract 71, New York County, New YorkCensus Tract 73, New York County, New York",252,427,45301,39748,3856,37928,3813,31688,3454,807,579,147,296,4030,1685,0,107,238,367,1018,778,54,132,964,766,1820,961,1284,813,45,133,20,125,15,117,0,107,358,323,98,190,38,154,60,168,2425,1867,148,30,258,0,58,64,1659,325
85.0,28915,3247,23000,3194,578,473,31,131,4659,1544,6,101,302,398,339,362,0,103,339,362,"Census Tract 90, New York County, New YorkCensus Tract 92, New York County, New YorkCensus Tract 94, New York County, New YorkCensus Tract 98, New York County, New YorkCensus Tract 100, New York County, New YorkCensus Tract 102, New York County, New YorkCensus Tract 108, New York County, New YorkCensus Tract 112.03, New York County, New York",288,488,79603,28915,3247,26883,3351,21278,3232,517,468,31,131,4659,1544,6,101,102,231,290,341,0,103,290,341,2032,1156,1722,1143,61,131,0,103,0,103,0,103,200,280,49,142,0,103,49,142,1681,1012,201,0,434,6,1,27,871,172
86.0,51857,5671,42799,5229,2319,1449,733,1097,3369,1454,0,98,1047,1046,1590,1325,479,759,1111,960,"Census Tract 175, New York County, New YorkCensus Tract 179, New York County, New YorkCensus Tract 167, New York County, New YorkCensus Tract 169, New York County, New YorkCensus Tract 171, New York County, New YorkCensus Tract 173, New York County, New York",216,366,103400,51857,5671,44761,4829,38370,4545,1823,1238,24,117,3369,1454,0,98,166,342,1009,909,105,234,904,835,7096,3345,4429,2664,496,643,709,1078,0,98,0,98,881,851,581,715,374,626,207,332,3540,2262,734,0,381,0,89,74,1738,627
87.0,22868,2924,2142,1456,15430,2486,167,256,658,478,11,73,3712,1725,748,683,256,305,492,529,"Census Tract 406, Bronx County, New YorkCensus Tract 408, Bronx County, New YorkCensus Tract 418, Bronx County, New YorkCensus Tract 420, Bronx County, New YorkCensus Tract 422, Bronx County, New YorkCensus Tract 430, Bronx County, New York",216,30,250400,22868,2924,16678,2547,779,622,14439,2440,29,99,658,478,11,73,358,419,404,484,90,159,314,389,6190,2093,1363,1170,991,868,138,223,0,66,0,66,3354,1688,344,356,166,234,178,224,5155,737,2790,12,110,0,1432,74,112,2421
88.0,40159,3852,33871,3680,676,588,64,139,4098,1556,15,91,374,539,1061,760,195,281,866,711,"Census Tract 145, New York County, New YorkCensus Tract 149, New York County, New YorkCensus Tract 153, New York County, New YorkCensus Tract 155, New York County, New YorkCensus Tract 157, New York County, New York",180,305,75900,40159,3852,37466,3779,31634,3619,645,584,24,95,3924,1497,0,82,284,487,955,741,117,213,838,702,2693,1334,2237,1199,31,82,40,134,174,285,15,91,90,167,106,185,78,162,28,109,2054,1648,53,0,222,0,43,88,1560,118
89.0,23021,2288,3732,1280,6693,1671,91,140,190,260,46,148,11709,2196,560,436,247,243,313,323,"Census Tract 87, Bronx County, New YorkCensus Tract 89, Bronx County, New YorkCensus Tract 115.02, Bronx County, New YorkCensus Tract 119, Bronx County, New YorkCensus Tract 127.01, Bronx County, New YorkCensus Tract 159, Bronx County, New York",216,30,69603,23021,2288,5871,1448,279,226,5206,1465,54,117,173,248,0,76,44,96,115,183,0,76,115,183,17150,2159,3453,1229,1487,829,37,96,17,88,46,148,11665,2193,445,373,247,243,198,247,8914,1405,2357,27,100,0,4832,193,105,6722
90.0,19635,2521,16194,2353,606,447,16,78,1663,772,0,65,297,337,859,626,154,222,705,536,"Census Tract 39, New York County, New YorkCensus Tract 47, New York County, New YorkCensus Tract 49, New York County, New YorkCensus Tract 33, New York County, New YorkCensus Tract 37, New York County, New York",180,305,20500,19635,2521,18184,2401,15141,2277,606,447,0,65,1616,747,0,65,75,129,746,559,68,115,678,527,1451,957,1053,742,0,65,16,78,47,122,0,65,222,318,113,199,86,189,27,97,1129,871,17,0,188,0,21,32,783,156
91.0,14646,1663,7269,1374,881,625,81,102,672,478,0,43,5260,1798,483,328,336,292,147,157,"Census Tract 264, Bronx County, New YorkCensus Tract 266.01, Bronx County, New YorkCensus Tract 266.02, Bronx County, New York",108,15,79603,14646,1663,7049,1328,5386,1175,847,626,31,65,672,478,0,43,10,49,103,134,29,76,74,120,7597,1803,1883,863,34,69,50,84,0,43,0,43,5250,1798,380,308,307,285,73,108,2415,1059,303,0,0,0,1011,42,721,1410
92.0,30318,3103,23102,2957,1250,800,213,301,4626,1472,0,76,420,433,707,592,128,186,579,539,"Census Tract 50, New York County, New YorkCensus Tract 52, New York County, New YorkCensus Tract 56, New York County, New YorkCensus Tract 58, New York County, New YorkCensus Tract 64, New York County, New YorkCensus Tract 68, New York County, New York",216,366,34800,30318,3103,28324,3060,21754,2941,1122,678,155,274,4626,1472,0,76,112,228,555,529,8,75,547,529,1994,958,1348,754,128,231,58,154,0,76,0,76,308,348,152,195,120,187,32,85,2826,1957,460,0,281,0,84,44,1840,256
93.0,7470,883,4925,641,155,129,0,27,1554,517,0,27,473,411,363,167,0,27,363,167,"Census Tract 7, Queens County, New YorkCensus Tract 19, Queens County, New York",72,162,2600,7470,883,6184,760,4234,605,85,87,0,27,1527,518,0,27,77,75,261,134,0,27,261,134,1286,535,691,292,70,93,0,27,27,41,0,27,396,412,102,97,0,27,102,97,477,263,0,0,214,0,0,0,198,65
94.0,26079,2875,20488,2516,781,564,25,75,3424,1477,15,73,681,655,665,509,80,158,585,485,"Census Tract 137, New York County, New YorkCensus Tract 139, New York County, New YorkCensus Tract 145, New York County, New YorkCensus Tract 149, New York County, New York",144,244,57000,26079,2875,24071,2792,19062,2452,761,567,25,75,3424,1477,0,64,291,464,508,478,0,64,508,478,2008,1060,1426,857,20,72,0,64,0,64,15,73,390,452,157,232,80,158,77,155,1641,1151,46,19,289,0,0,136,1039,133
95.0,12218,1196,8317,986,474,385,0,32,2418,668,0,32,369,242,640,315,30,50,610,305,"Census Tract 1, Queens County, New YorkCensus Tract 7, Queens County, New York",72,162,800,12218,1196,10880,1206,7416,967,404,343,0,32,2391,669,0,32,155,138,514,260,30,50,484,249,1338,448,901,372,70,98,0,32,27,46,0,32,214,197,126,131,0,32,126,131,1084,645,49,0,324,0,12,54,510,165
96.0,45467,5432,33812,4283,3334,2919,0,104,5235,2110,0,104,1537,1403,1549,1197,307,426,1242,1012,"Census Tract 58, New York County, New YorkCensus Tract 81, New York County, New YorkCensus Tract 87, New York County, New YorkCensus Tract 89, New York County, New YorkCensus Tract 91, New York County, New YorkCensus Tract 93, New York County, New YorkCensus Tract 95, New York County, New York",252,427,59400,45467,5432,40198,5420,30531,3889,3158,2890,0,104,5124,2117,0,104,272,469,1113,931,17,115,1096,925,5269,2013,3281,1835,176,307,0,104,111,241,0,104,1265,1243,436,526,290,427,146,274,5850,2443,2232,0,481,0,396,298,2081,1074
97.0,20933,2325,17588,2252,572,410,36,96,1699,746,0,65,445,410,593,474,27,74,566,469,"Census Tract 49, New York County, New YorkCensus Tract 65, New York County, New YorkCensus Tract 67, New York County, New YorkCensus Tract 69, New York County, New YorkCensus Tract 37, New York County, New York",180,305,28700,20933,2325,19802,2318,16729,2239,565,407,0,65,1699,746,0,65,226,301,583,473,27,74,556,468,1131,571,859,492,7,62,36,96,0,65,0,65,219,243,10,69,0,65,10,69,1413,1111,32,20,130,0,50,70,1051,132
98.0,13609,1585,3640,1083,972,496,0,55,5128,1387,0,55,3188,1295,681,482,360,353,321,282,"Census Tract 40.02, Queens County, New YorkCensus Tract 86, Queens County, New YorkCensus Tract 94, Queens County, New YorkCensus Tract 96, Queens County, New YorkCensus Tract 112, Queens County, New York",180,405,42802,13609,1585,9497,1529,2019,746,867,463,0,55,5110,1395,0,55,1040,578,461,362,148,184,313,280,4112,1338,1621,817,105,133,0,55,18,77,0,55,2148,1138,220,265,212,263,8,56,2283,686,129,0,924,0,496,48,233,688
99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100.0,21121,2137,18763,2024,259,324,76,161,1412,743,0,71,406,457,205,260,60,127,145,233,"Census Tract 360.01, Kings County, New YorkCensus Tract 364, Kings County, New YorkCensus Tract 356.01, Kings County, New YorkCensus Tract 354, Kings County, New YorkCensus Tract 356.02, Kings County, New YorkCensus Tract 362, Kings County, New York",216,282,215204,21121,2137,19246,1936,17435,1833,207,287,76,161,1393,739,0,71,0,71,135,220,32,111,103,180,1875,1140,1328,969,52,121,0,71,19,89,0,71,406,457,70,137,28,105,42,124,4560,3732,75,0,543,0,155,55,3164,742
101.0,12218,1196,8317,986,474,385,0,32,2418,668,0,32,369,242,640,315,30,50,610,305,"Census Tract 1, Queens County, New YorkCensus Tract 7, Queens County, New York",72,162,800,12218,1196,10880,1206,7416,967,404,343,0,32,2391,669,0,32,155,138,514,260,30,50,484,249,1338,448,901,372,70,98,0,32,27,46,0,32,214,197,126,131,0,32,126,131,1084,645,49,0,324,0,12,54,510,165
102.0,39855,4726,35451,4338,311,317,12,103,3082,1977,0,94,215,264,784,663,23,119,761,660,"Census Tract 114.02, New York County, New YorkCensus Tract 118, New York County, New YorkCensus Tract 120, New York County, New YorkCensus Tract 122, New York County, New YorkCensus Tract 126, New York County, New YorkCensus Tract 128, New York County, New YorkCensus Tract 130, New York County, New York",252,427,85802,39855,4726,37849,4693,33723,4325,284,313,12,103,3082,1977,0,94,21,114,727,649,23,119,704,646,2006,1204,1728,1177,27,130,0,94,0,94,0,94,194,244,57,150,0,94,57,150,1842,1628,76,0,114,0,11,13,1448,191
103.0,5519,781,2796,546,161,163,0,33,1608,415,36,78,776,570,142,107,45,77,97,73,"Census Tract 19, Queens County, New YorkCensus Tract 31, Queens County, New YorkCensus Tract 33, Queens County, New York",108,243,8300,5519,781,3744,564,1855,360,138,158,0,33,1603,415,36,78,0,33,112,95,31,68,81,70,1775,658,941,405,23,44,0,33,5,30,0,33,776,570,30,40,14,33,16,40,963,446,31,0,294,0,190,2,213,425
104.0,16947,1904,6382,1405,672,478,13,66,4485,1592,0,71,4158,1540,1237,759,745,630,492,381,"Census Tract 38, Queens County, New YorkCensus Tract 40.01, Queens County, New YorkCensus Tract 40.02, Queens County, New YorkCensus Tract 54, Queens County, New YorkCensus Tract 86, Queens County, New YorkCensus Tract 112, Queens County, New York",216,486,37003,16947,1904,9594,1826,3594,1023,622,467,1,62,4464,1593,0,71,419,369,494,402,117,175,377,340,7353,1628,2788,1106,50,81,12,75,21,76,0,71,3739,1492,743,565,628,544,115,172,3494,1161,116,1,1109,0,971,136,478,1646
105.0,51881,4577,41185,4262,1942,1202,161,299,6647,2124,0,129,672,677,1274,850,195,297,1079,786,"Census Tract 40, New York County, New YorkCensus Tract 42, New York County, New YorkCensus Tract 48, New York County, New YorkCensus Tract 50, New York County, New YorkCensus Tract 52, New York County, New YorkCensus Tract 54, New York County, New YorkCensus Tract 59, New York County, New YorkCensus Tract 61, New York County, New YorkCensus Tract 63, New York County, New York",324,549,46900,51881,4577,48544,4461,38688,4086,1763,1112,161,299,6632,2121,0,129,306,497,994,751,58,162,936,736,3337,1489,2497,1285,179,273,0,129,15,139,0,129,366,455,280,382,137,265,143,265,3437,2619,265,10,396,0,61,86,2313,412
106.0,25368,2900,8693,1815,12685,2477,128,207,1312,749,0,77,1827,1170,723,479,148,193,575,440,"Census Tract 253, Kings County, New YorkCensus Tract 241, Kings County, New YorkCensus Tract 233, Kings County, New YorkCensus Tract 243, Kings County, New YorkCensus Tract 229, Kings County, New YorkCensus Tract 235, Kings County, New YorkCensus Tract 251, Kings County, New York",252,329,168500,25368,2900,21123,2880,7345,1623,11760,2421,118,202,1312,749,0,77,107,182,481,336,54,106,427,328,4245,1500,1348,785,925,794,10,82,0,77,0,77,1720,1137,242,272,94,159,148,226,7379,2829,3193,0,545,0,664,148,2489,1320
107.0,19772,1807,16066,1973,527,396,1,46,1662,813,0,54,948,716,568,396,95,148,473,385,"Census Tract 167, Kings County, New YorkCensus Tract 169, Kings County, New YorkCensus Tract 149, Kings County, New YorkCensus Tract 171, Kings County, New York",144,188,65600,19772,1807,16563,1712,14033,1750,373,299,1,46,1662,813,0,54,68,112,426,360,35,76,391,360,3209,1120,2033,982,154,213,0,54,0,54,0,54,880,691,142,169,60,132,82,119,1651,937,105,1,438,0,147,23,519,598
108.0,21958,2048,17551,2151,765,562,0,65,1478,706,0,65,1073,875,1091,564,177,255,914,509,"Census Tract 167, Kings County, New YorkCensus Tract 151, Kings County, New YorkCensus Tract 153, Kings County, New YorkCensus Tract 149, Kings County, New YorkCensus Tract 155, Kings County, New York",180,235,77500,21958,2048,18639,1966,15585,1930,695,532,0,65,1456,703,0,65,98,161,805,502,36,89,769,496,3319,1210,1966,959,70,115,0,65,22,86,0,65,975,830,286,330,141,231,145,200,1205,790,79,0,154,0,125,57,629,306
109.0,10913,932,7333,796,927,421,31,50,1361,679,0,33,774,469,487,321,30,58,457,316,"Census Tract 502.02, Kings County, New YorkCensus Tract 500, Kings County, New YorkCensus Tract 504, Kings County, New York",108,141,150602,10913,932,9365,904,6660,830,909,412,12,41,1361,679,0,33,10,37,413,308,0,33,413,308,1548,757,673,437,18,50,19,42,0,33,0,33,764,475,74,87,30,58,44,62,1129,677,102,12,191,0,2,145,592,87
110.0,25054,2393,13416,2240,1494,804,13,70,6423,1937,0,71,2599,1336,1109,739,192,283,917,666,"Census Tract 228, Kings County, New YorkCensus Tract 494, Kings County, New YorkCensus Tract 500, Kings County, New YorkCensus Tract 488, Kings County, New YorkCensus Tract 496, Kings County, New YorkCensus Tract 498, Kings County, New York",216,282,270400,25054,2393,21237,2464,12173,2183,1461,787,13,70,6408,1935,0,71,222,338,960,701,97,158,863,658,3817,1486,1243,754,33,107,0,71,15,81,0,71,2377,1289,149,200,95,184,54,110,4866,2356,183,12,1512,0,563,240,2244,630
111.0,28849,2955,6259,1483,15378,2750,87,161,2070,1106,0,76,3856,1986,1199,783,254,271,945,666,"Census Tract 1522, Kings County, New YorkCensus Tract 512, Kings County, New YorkCensus Tract 492, Kings County, New YorkCensus Tract 510.01, Kings County, New YorkCensus Tract 514, Kings County, New YorkCensus Tract 516.02, Kings County, New York",216,282,406603,28849,2955,23222,3006,5400,1342,14652,2732,67,129,2060,1097,0,76,147,265,896,653,123,180,773,591,5627,2092,859,598,726,650,20,100,10,83,0,76,3709,1977,303,372,131,204,172,259,5367,896,2324,4,540,0,1322,281,748,1664
112.0,37628,3689,5773,1947,24014,3614,42,149,1031,886,7,107,5795,2654,966,717,220,261,746,566,"Census Tract 512, Kings County, New YorkCensus Tract 508.01, Kings County, New YorkCensus Tract 796.02, Kings County, New YorkCensus Tract 510.01, Kings County, New YorkCensus Tract 508.03, Kings County, New YorkCensus Tract 510.02, Kings County, New YorkCensus Tract 508.04, Kings County, New YorkCensus Tract 506, Kings County, New York",288,376,435813,37628,3689,28409,3534,3846,1396,22614,3519,42,149,1031,886,7,107,218,292,651,520,15,116,636,517,9219,2887,1927,1365,1400,1191,0,108,0,108,0,108,5577,2599,315,372,205,250,110,222,7464,1114,3901,0,458,7,1796,188,287,2925
113.0,25167,2712,9171,1602,7871,1708,149,224,4919,1541,0,77,2168,1738,889,821,231,275,658,722,"Census Tract 460, Kings County, New YorkCensus Tract 520, Kings County, New YorkCensus Tract 526, Kings County, New YorkCensus Tract 764, Kings County, New YorkCensus Tract 518, Kings County, New YorkCensus Tract 528, Kings County, New YorkCensus Tract 766, Kings County, New York",252,329,408200,25167,2712,21911,2551,8376,1509,7671,1712,13,88,4853,1542,0,77,209,307,789,802,162,243,627,721,3256,1695,795,582,200,211,136,221,66,161,0,77,1959,1670,100,130,69,109,31,105,4535,1552,705,0,1427,0,529,322,1313,736
114.0,30053,3124,5207,1592,19837,3190,0,87,1097,976,7,86,3145,1782,760,716,180,237,580,569,"Census Tract 798.02, Kings County, New YorkCensus Tract 508.01, Kings County, New YorkCensus Tract 796.01, Kings County, New YorkCensus Tract 796.02, Kings County, New YorkCensus Tract 508.03, Kings County, New YorkCensus Tract 508.04, Kings County, New YorkCensus Tract 798.01, Kings County, New York",252,329,471214,30053,3124,24636,3162,4101,1270,18749,3168,0,87,1037,942,7,86,197,258,545,557,11,94,534,555,5417,2122,1106,910,1088,982,0,87,60,170,0,87,2948,1734,215,281,169,230,46,138,5741,724,3278,0,562,7,1097,73,433,1591
115.0,23091,2189,15409,1982,4133,1851,76,154,1596,845,0,71,738,760,1139,640,107,159,1032,598,"Census Tract 157, Kings County, New YorkCensus Tract 163, Kings County, New YorkCensus Tract 205, Kings County, New YorkCensus Tract 159, Kings County, New YorkCensus Tract 207, Kings County, New YorkCensus Tract 161, Kings County, New York",216,282,105200,23091,2189,20925,2159,14636,1898,3495,1504,76,154,1588,844,0,71,132,190,998,603,56,119,942,575,2166,1217,773,593,638,688,0,71,8,72,0,71,606,710,141,199,51,109,90,159,1231,618,233,24,151,0,172,33,574,245
116.0,23287,2497,11126,1799,6434,1674,59,125,1860,1016,0,88,2740,1401,1068,622,336,382,732,460,"Census Tract 129.02, Kings County, New YorkCensus Tract 129.01, Kings County, New YorkCensus Tract 35, Kings County, New YorkCensus Tract 127, Kings County, New YorkCensus Tract 39, Kings County, New YorkCensus Tract 179, Kings County, New YorkCensus Tract 181, Kings County, New YorkCensus Tract 33, Kings County, New York",288,376,85203,23287,2497,18031,2225,9675,1674,5755,1560,44,122,1833,1013,0,88,39,104,685,447,12,86,673,445,5256,1910,1451,913,679,611,15,90,27,109,0,88,2701,1397,383,391,324,379,59,119,3179,1206,1124,24,295,0,426,104,789,990
117.0,16137,2035,778,571,12937,1873,0,55,378,384,0,55,1852,995,192,203,82,132,110,143,"Census Tract 365.01, Kings County, New YorkCensus Tract 365.02, Kings County, New YorkCensus Tract 371, Kings County, New YorkCensus Tract 301, Kings County, New YorkCensus Tract 369, Kings County, New York",180,235,177103,16137,2035,13144,1925,532,506,12137,1901,0,55,361,366,0,55,38,101,76,119,4,51,72,111,2993,1189,246,237,800,630,0,55,17,71,0,55,1814,952,116,157,78,132,38,82,4301,301,3102,0,59,0,791,48,238,935
118.0,20246,2057,9425,1630,6226,1577,10,83,1873,806,0,77,1590,997,1122,577,246,269,876,502,"Census Tract 183, Kings County, New YorkCensus Tract 35, Kings County, New YorkCensus Tract 39, Kings County, New YorkCensus Tract 179, Kings County, New YorkCensus Tract 181, Kings County, New YorkCensus Tract 31, Kings County, New YorkCensus Tract 33, Kings County, New York",252,329,68100,20246,2057,16751,2077,8313,1514,5713,1495,0,77,1823,797,0,77,47,99,855,499,40,100,815,493,3495,1432,1112,734,513,474,10,83,50,113,0,77,1543,990,267,267,206,249,61,103,2104,830,744,10,217,0,240,63,537,651
119.0,33959,3324,14927,2565,13452,3090,62,159,2398,1218,0,104,1531,1029,1589,916,235,304,1354,845,"Census Tract 183, Kings County, New YorkCensus Tract 197, Kings County, New YorkCensus Tract 193, Kings County, New YorkCensus Tract 201, Kings County, New YorkCensus Tract 179, Kings County, New YorkCensus Tract 181, Kings County, New YorkCensus Tract 195, Kings County, New YorkCensus Tract 199, Kings County, New YorkCensus Tract 231, Kings County, New York",324,423,175900,33959,3324,29658,3273,13485,2430,12335,2882,29,140,2342,1206,0,104,158,248,1309,832,81,160,1228,799,4301,1813,1442,912,1117,1147,33,125,56,137,0,104,1373,951,280,333,154,239,126,198,4267,1773,1677,10,387,0,329,91,1531,652
120.0,26652,2661,17837,2353,4091,1866,57,137,1706,929,0,82,1786,1346,1175,741,207,310,968,596,"Census Tract 157, Kings County, New YorkCensus Tract 129.02, Kings County, New YorkCensus Tract 163, Kings County, New YorkCensus Tract 131, Kings County, New YorkCensus Tract 159, Kings County, New YorkCensus Tract 207, Kings County, New YorkCensus Tract 161, Kings County, New York",252,329,110702,26652,2661,22910,2483,16773,2295,3334,1491,52,141,1706,929,0,82,97,172,948,605,56,130,892,577,3742,1854,1064,746,757,797,5,78,0,82,0,82,1689,1323,227,336,151,260,76,153,1623,813,242,0,143,0,411,14,720,561
