,Est: Total,MoE: Total,Est: Total: White alone,MoE: Total: White alone,Est: Total: Black or African American alone,MoE: Total: Black or African American alone,Est: Total: American Indian and Alaska Native alone,MoE: Total: American Indian and Alaska Native alone,Est: Total: Asian alone,MoE: Total: Asian alone,Est: Total: Native Hawaiian and Other Pacific Islander alone,MoE: Total: Native Hawaiian and Other Pacific Islander alone,Est: Total: Some other race alone,MoE: Total: Some other race alone,Est: Total: Two or more races,MoE: Total: Two or more races,Est: Total: Two or more races: Two races including Some other race,MoE: Total: Two or more races: Two races including Some other race,"Est: Total: Two or more races: Two races excluding Some other race, and three or more races","MoE: Total: Two or more races: Two races excluding Some other race, and three or more races",NAME,state,county,tract,Estimate!!Total,Margin of Error!!Total,Estimate!!Total!!Not Hispanic or Latino,Margin of Error!!Total!!Not Hispanic or Latino,Estimate!!Total!!Not Hispanic or Latino!!White alone,Margin of Error!!Total!!Not Hispanic or Latino!!White alone,Estimate!!Total!!Not Hispanic or Latino!!Black or African American alone,Margin of Error!!Total!!Not Hispanic or Latino!!Black or African American alone,Estimate!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone,Margin of Error!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone,Estimate!!Total!!Not Hispanic or Latino!!Asian alone,Margin of Error!!Total!!Not Hispanic or Latino!!Asian alone,Estimate!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone,Margin of Error!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone,Estimate!!Total!!Not Hispanic or Latino!!Some other race alone,Margin of Error!!Total!!Not Hispanic or Latino!!Some other race alone,Estimate!!Total!!Not Hispanic or Latino!!Two or more races,Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races,Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race,Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race,"Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races",Estimate!!Total!!Hispanic or Latino,Margin of Error!!Total!!Hispanic or Latino,Estimate!!Total!!Hispanic or Latino!!White alone,Margin of Error!!Total!!Hispanic or Latino!!White alone,Estimate!!Total!!Hispanic or Latino!!Black or African American alone,Margin of Error!!Total!!Hispanic or Latino!!Black or African American alone,Estimate!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone,Margin of Error!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone,Estimate!!Total!!Hispanic or Latino!!Asian alone,Margin of Error!!Total!!Hispanic or Latino!!Asian alone,Estimate!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone,Margin of Error!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone,Estimate!!Total!!Hispanic or Latino!!Some other race alone,Margin of Error!!Total!!Hispanic or Latino!!Some other race alone,Estimate!!Total!!Hispanic or Latino!!Two or more races,Margin of Error!!Total!!Hispanic or Latino!!Two or more races,Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race,Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race,"Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races",Est: Poverty Status Past 12 Months,Est: Poverty Status Past 12 Months (White),Est: Poverty Status Past 12 Months (Black),Est: Poverty Status Past 12 Months (Native American),Est: Poverty Status Past 12 Months (Asian),Est: Poverty Status Past 12 Months (Native Hawiian/Pacific Islander),Est: Poverty Status Past 12 Months (Other),Est: Poverty Status Past 12 Months (Two or more races),Est: Poverty Status Past 12 Months (Non-Hispanic White),Est: Poverty Status Past 12 Months (Hispanic or Latino)
1400000US36047030000,4048,539,1511,325,0,11,0,11,2221,488,0,11,316,328,0,11,0,11,0,11,"Census Tract 300, Kings County, New York",36,047,030000,4048,539,3518,455,1309,313,0,11,0,11,2209,489,0,11,0,11,0,11,0,11,0,11,530,348,202,110,0,11,0,11,12,20,0,11,316,328,0,11,0,11,0,11,607,216,0,0,348,0,43,0,144,115
1400000US36047034900,5297,448,282,157,4474,454,12,20,35,38,0,16,379,262,115,89,12,19,103,88,"Census Tract 349, Kings County, New York",36,047,034900,5297,448,4687,439,227,151,4320,448,12,20,35,38,0,16,0,16,93,87,0,16,93,87,610,290,55,52,154,142,0,16,0,16,0,16,379,262,22,25,12,19,10,16,1666,35,1405,0,0,0,204,22,8,354
1400000US36047010100,4402,474,1876,333,89,51,8,13,209,138,0,11,1932,548,288,194,109,98,179,167,"Census Tract 101, Kings County, New York",36,047,010100,4402,474,1527,271,1102,196,89,51,0,11,209,138,0,11,24,23,103,79,56,72,47,30,2875,476,774,288,0,11,8,13,0,11,0,11,1908,547,185,173,53,65,132,160,1101,357,22,0,27,0,680,15,46,979
1400000US36047026300,2002,247,269,114,1506,231,14,22,24,28,0,11,183,124,6,11,6,11,0,11,"Census Tract 263, Kings County, New York",36,047,026300,2002,247,1738,241,229,99,1456,231,0,11,24,28,0,11,23,27,6,11,6,11,0,11,264,143,40,47,50,66,14,22,0,11,0,11,160,121,0,11,0,11,0,11,457,63,289,0,0,0,105,0,51,117
1400000US36047027300,2649,288,189,127,2301,261,0,11,49,66,0,11,50,42,60,50,26,40,34,30,"Census Tract 273, Kings County, New York",36,047,027300,2649,288,2562,274,188,126,2301,261,0,11,49,66,0,11,0,11,24,25,0,11,24,25,87,82,1,4,0,11,0,11,0,11,0,11,50,42,36,44,26,40,10,16,767,3,725,0,0,0,28,11,2,29
1400000US36047039500,3789,533,1685,518,1368,379,0,11,294,195,0,11,302,209,140,148,18,33,122,144,"Census Tract 395, Kings County, New York",36,047,039500,3789,533,1905,393,442,143,1155,379,0,11,294,195,0,11,0,11,14,24,0,11,14,24,1884,435,1243,515,213,171,0,11,0,11,0,11,302,209,126,142,18,33,108,139,1501,835,295,0,130,0,231,10,129,986
1400000US36047090600,4318,303,272,145,3046,420,38,42,32,48,0,11,912,377,18,24,18,24,0,11,"Census Tract 906, Kings County, New York",36,047,090600,4318,303,2919,419,75,53,2727,411,0,11,32,48,0,11,85,120,0,11,0,11,0,11,1399,393,197,135,319,148,38,42,0,11,0,11,827,369,18,24,18,24,0,11,2065,191,1516,38,32,0,277,11,58,656
1400000US36047042100,4016,514,2105,429,1349,420,77,77,134,86,0,11,288,124,63,46,39,36,24,28,"Census Tract 421, Kings County, New York",36,047,042100,4016,514,1500,407,480,190,828,395,14,23,134,86,0,11,5,12,39,37,15,22,24,28,2516,394,1625,437,521,245,63,73,0,11,0,11,283,122,24,27,24,27,0,11,986,559,258,0,53,0,80,36,101,629
1400000US36047053700,3392,401,3208,385,52,22,0,11,32,45,0,11,10,11,90,118,5,10,85,118,"Census Tract 537, Kings County, New York",36,047,053700,3392,401,3361,401,3192,389,52,22,0,11,32,45,0,11,0,11,85,118,0,11,85,118,31,22,16,19,0,11,0,11,0,11,0,11,10,11,5,10,5,10,0,11,1571,1526,0,0,27,0,0,18,1526,0
1400000US36047054200,4719,506,3660,500,180,124,0,11,288,214,0,11,529,433,62,89,0,11,62,89,"Census Tract 542, Kings County, New York",36,047,054200,4719,506,4007,519,3477,526,180,124,0,11,288,214,0,11,0,11,62,89,0,11,62,89,712,447,183,130,0,11,0,11,0,11,0,11,529,433,0,11,0,11,0,11,1507,958,62,0,170,0,311,6,941,328
1400000US36047118202,2765,311,1455,301,640,198,0,11,106,70,0,11,478,221,86,73,42,41,44,66,"Census Tract 1182.02, Kings County, New York",36,047,118202,2765,311,652,179,176,112,347,138,0,11,106,70,0,11,0,11,23,35,23,35,0,11,2113,340,1279,309,293,166,0,11,0,11,0,11,478,221,63,65,19,22,44,66,760,371,204,0,47,0,111,27,22,577
1400000US36047024500,3855,427,565,166,2942,442,29,44,181,129,0,11,47,33,91,57,18,16,73,53,"Census Tract 245, Kings County, New York",36,047,024500,3855,427,3705,406,526,160,2889,434,29,44,181,129,0,11,0,11,80,54,18,16,62,51,150,81,39,32,53,58,0,11,0,11,0,11,47,33,11,17,0,11,11,17,796,69,658,29,27,0,0,13,69,0
1400000US36047116600,2865,343,587,202,1887,343,0,11,19,29,0,11,281,133,91,87,37,59,54,66,"Census Tract 1166, Kings County, New York",36,047,116600,2865,343,1915,313,73,75,1696,323,0,11,19,29,0,11,48,77,79,86,37,59,42,65,950,262,514,194,191,167,0,11,0,11,0,11,233,115,12,17,0,11,12,17,853,205,600,0,0,0,48,0,69,279
1400000US36047023200,5753,741,4952,806,41,63,0,16,238,133,0,16,508,355,14,21,0,16,14,21,"Census Tract 232, Kings County, New York",36,047,023200,5753,741,4969,819,4731,778,0,16,0,16,238,133,0,16,0,16,0,16,0,16,0,16,784,413,221,209,41,63,0,16,0,16,0,16,508,355,14,21,0,16,14,21,2547,2293,41,0,117,0,96,0,2141,289
1400000US36047023500,4015,415,2524,415,725,228,0,11,233,114,0,11,446,236,87,58,34,22,53,55,"Census Tract 235, Kings County, New York",36,047,023500,4015,415,3066,393,2072,389,687,229,0,11,233,114,0,11,17,27,57,44,26,18,31,41,949,299,452,245,38,36,0,11,0,11,0,11,429,234,30,39,8,12,22,37,1940,1435,165,0,142,0,183,15,1328,298
1400000US36047024200,3052,420,2730,414,7,12,0,11,285,114,0,11,30,38,0,11,0,11,0,11,"Census Tract 242, Kings County, New York",36,047,024200,3052,420,2905,412,2664,407,7,12,0,11,234,111,0,11,0,11,0,11,0,11,0,11,147,115,66,81,0,11,0,11,51,73,0,11,30,38,0,11,0,11,0,11,1018,957,0,0,61,0,0,0,945,20
1400000US36047040700,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,"Census Tract 407, Kings County, New York",36,047,040700,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,0,0,0,0,0,0,0,0,0
1400000US36047105804,6416,528,1901,438,3422,645,119,125,357,278,0,16,525,603,92,68,11,20,81,65,"Census Tract 1058.04, Kings County, New York",36,047,105804,6416,528,5087,616,1541,399,3063,615,57,74,357,278,0,16,0,16,69,62,0,16,69,62,1329,782,360,212,359,414,62,104,0,16,0,16,525,603,23,28,11,20,12,20,2094,936,821,0,263,0,0,74,877,333
1400000US36047013200,2397,276,1091,259,10,15,0,11,1116,282,0,11,169,113,11,10,0,11,11,10,"Census Tract 132, Kings County, New York",36,047,013200,2397,276,1993,288,856,250,10,15,0,11,1116,282,0,11,0,11,11,10,0,11,11,10,404,170,235,132,0,11,0,11,0,11,0,11,169,113,0,11,0,11,0,11,443,84,0,0,341,0,18,0,84,18
1400000US36047023400,5162,575,5044,611,0,16,0,16,0,16,0,16,103,165,15,29,5,10,10,19,"Census Tract 234, Kings County, New York",36,047,023400,5162,575,5029,601,5014,608,0,16,0,16,0,16,0,16,0,16,15,29,5,10,10,19,133,170,30,51,0,16,0,16,0,16,0,16,103,165,0,16,0,16,0,16,2717,2639,0,0,0,0,78,0,2639,78
1400000US36047039700,3261,374,1164,373,1859,375,49,71,55,72,0,11,91,137,43,34,23,26,20,21,"Census Tract 397, Kings County, New York",36,047,039700,3261,374,2176,351,476,195,1586,312,49,71,55,72,0,11,0,11,10,15,0,11,10,15,1085,295,688,320,273,159,0,11,0,11,0,11,91,137,33,24,23,26,10,15,1066,199,757,0,0,0,91,19,73,325
1400000US36047082000,4856,503,238,124,4072,424,0,11,91,73,0,11,208,147,247,339,2,3,245,339,"Census Tract 820, Kings County, New York",36,047,082000,4856,503,4438,467,155,76,3940,385,0,11,91,73,0,11,7,10,245,339,0,11,245,339,418,195,83,96,132,112,0,11,0,11,0,11,201,147,2,3,2,3,0,11,1084,82,956,0,30,0,16,0,14,77
1400000US36047041700,3158,411,1342,391,1048,313,12,19,289,191,0,11,391,229,76,85,34,47,42,63,"Census Tract 417, Kings County, New York",36,047,041700,3158,411,925,277,74,116,562,249,0,11,289,191,0,11,0,11,0,11,0,11,0,11,2233,390,1268,386,486,242,12,19,0,11,0,11,391,229,76,85,34,47,42,63,866,359,305,0,88,0,107,7,0,674
1400000US36047053400,4227,622,2781,551,241,176,45,73,948,317,0,11,111,86,101,112,7,13,94,111,"Census Tract 534, Kings County, New York",36,047,053400,4227,622,4009,618,2681,560,241,176,45,73,948,317,0,11,0,11,94,111,0,11,94,111,218,106,100,66,0,11,0,11,0,11,0,11,111,86,7,13,7,13,0,11,1536,1074,0,0,397,0,0,65,1074,0
1400000US36047059402,4817,398,3866,367,67,72,0,11,801,298,44,71,39,48,0,11,0,11,0,11,"Census Tract 594.02, Kings County, New York",36,047,059402,4817,398,4616,408,3722,370,49,66,0,11,801,298,44,71,0,11,0,11,0,11,0,11,201,124,144,93,18,29,0,11,0,11,0,11,39,48,0,11,0,11,0,11,311,291,0,0,20,0,0,0,253,38
1400000US36047037100,4705,499,91,97,4039,491,0,11,142,101,0,11,399,269,34,49,0,11,34,49,"Census Tract 371, Kings County, New York",36,047,037100,4705,499,3921,506,91,97,3671,519,0,11,125,83,0,11,0,11,34,49,0,11,34,49,784,349,0,11,368,244,0,11,17,27,0,11,399,269,0,11,0,11,0,11,1101,55,839,0,52,0,150,5,55,150
1400000US36047041100,3387,446,608,313,1214,310,11,20,59,45,0,11,1315,409,180,136,58,66,122,115,"Census Tract 411, Kings County, New York",36,047,041100,3387,446,1486,314,158,96,1195,305,11,20,45,39,0,11,44,49,33,38,0,11,33,38,1901,363,450,276,19,31,0,11,14,20,0,11,1271,393,147,130,58,66,89,110,980,49,371,0,0,0,508,52,17,531
1400000US36047085200,8,13,0,11,8,13,0,11,0,11,0,11,0,11,0,11,0,11,0,11,"Census Tract 852, Kings County, New York",36,047,085200,8,13,8,13,0,11,8,13,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,0,0,0,0,0,0,0,0,0
1400000US36047006600,3797,403,2994,479,72,84,80,92,376,135,0,11,252,202,23,25,0,11,23,25,"Census Tract 66, Kings County, New York",36,047,006600,3797,403,2933,385,2464,386,51,77,30,47,376,135,0,11,0,11,12,19,0,11,12,19,864,224,530,232,21,34,50,80,0,11,0,11,252,202,11,17,0,11,11,17,570,561,6,0,1,0,2,0,443,120
1400000US36047009200,5407,508,1188,328,209,114,0,16,2669,474,0,16,1185,378,156,139,68,65,88,129,"Census Tract 92, Kings County, New York",36,047,009200,5407,508,3454,485,457,248,205,118,0,16,2669,474,0,16,0,16,123,135,35,53,88,129,1953,372,731,273,4,8,0,16,0,16,0,16,1185,378,33,37,33,37,0,16,2222,278,65,0,1236,0,555,88,66,767
1400000US36047019500,4188,348,1959,306,1567,383,22,33,347,176,0,11,231,164,62,58,15,21,47,53,"Census Tract 195, Kings County, New York",36,047,019500,4188,348,3542,304,1669,280,1461,346,9,25,347,176,0,11,9,15,47,53,0,11,47,53,646,189,290,146,106,117,13,21,0,11,0,11,222,165,15,21,15,21,0,11,537,275,104,0,123,0,2,33,218,59
1400000US36047011400,4500,612,2835,626,269,128,0,11,925,371,0,11,170,126,301,302,122,190,179,242,"Census Tract 114, Kings County, New York",36,047,011400,4500,612,3945,641,2582,618,259,121,0,11,925,371,0,11,0,11,179,242,0,11,179,242,555,276,253,154,10,15,0,11,0,11,0,11,170,126,122,190,122,190,0,11,1506,1099,47,0,212,0,60,88,1073,174
1400000US36047026700,3531,416,706,195,2472,458,0,11,58,51,0,11,117,76,178,151,0,11,178,151,"Census Tract 267, Kings County, New York",36,047,026700,3531,416,3279,421,672,193,2358,450,0,11,58,51,0,11,13,20,178,151,0,11,178,151,252,109,34,26,114,91,0,11,0,11,0,11,104,74,0,11,0,11,0,11,725,110,541,0,21,0,24,29,110,24
1400000US36047042200,3474,456,2865,550,62,72,79,125,351,271,0,11,99,159,18,28,0,11,18,28,"Census Tract 422, Kings County, New York",36,047,042200,3474,456,2845,406,2414,441,62,72,0,11,351,271,0,11,0,11,18,28,0,11,18,28,629,358,451,369,0,11,79,125,0,11,0,11,99,159,0,11,0,11,0,11,595,527,46,0,0,0,4,18,369,162
1400000US36047072200,2896,293,85,56,2705,298,0,11,39,35,0,11,12,16,55,42,25,34,30,24,"Census Tract 722, Kings County, New York",36,047,072200,2896,293,2812,289,85,56,2682,294,0,11,39,35,0,11,0,11,6,9,0,11,6,9,84,59,0,11,23,22,0,11,0,11,0,11,12,16,49,41,25,34,24,23,408,4,386,0,18,0,0,0,4,13
1400000US36047081000,2194,276,281,209,1710,233,0,11,82,69,0,11,52,53,69,48,14,15,55,45,"Census Tract 810, Kings County, New York",36,047,081000,2194,276,2094,284,277,209,1677,236,0,11,82,69,0,11,25,35,33,40,0,11,33,40,100,72,4,8,33,37,0,11,0,11,0,11,27,41,36,27,14,15,22,21,539,86,391,0,50,0,0,12,82,9
1400000US36047101600,1594,163,122,58,1383,185,0,11,47,56,0,11,9,18,33,54,33,54,0,11,"Census Tract 1016, Kings County, New York",36,047,101600,1594,163,1574,164,122,58,1372,184,0,11,47,56,0,11,0,11,33,54,33,54,0,11,20,22,0,11,11,12,0,11,0,11,0,11,9,18,0,11,0,11,0,11,44,0,32,0,12,0,0,0,0,0
1400000US36047112800,3829,490,294,267,3133,413,0,11,70,68,0,11,303,248,29,46,0,11,29,46,"Census Tract 1128, Kings County, New York",36,047,112800,3829,490,3363,452,219,255,3045,409,0,11,70,68,0,11,0,11,29,46,0,11,29,46,466,260,75,53,88,83,0,11,0,11,0,11,303,248,0,11,0,11,0,11,1337,246,797,0,0,0,265,29,219,311
1400000US36047043700,6122,508,2772,596,2073,622,0,16,73,59,0,16,979,312,225,153,118,135,107,72,"Census Tract 437, Kings County, New York",36,047,043700,6122,508,2189,357,834,288,1209,221,0,16,73,59,0,16,0,16,73,59,0,16,73,59,3933,642,1938,618,864,539,0,16,0,16,0,16,979,312,152,142,118,135,34,38,1931,661,706,0,16,0,517,31,233,1220
1400000US36047086600,3175,311,56,70,3025,298,0,11,0,11,0,11,72,60,22,24,10,15,12,19,"Census Tract 866, Kings County, New York",36,047,086600,3175,311,3059,300,18,29,3011,301,0,11,0,11,0,11,8,13,22,24,10,15,12,19,116,90,38,63,14,20,0,11,0,11,0,11,64,60,0,11,0,11,0,11,397,18,357,0,0,0,12,10,18,12
1400000US36047003100,2837,278,807,153,1111,170,0,11,491,176,0,11,225,133,203,96,41,33,162,89,"Census Tract 31, Kings County, New York",36,047,003100,2837,278,2436,301,698,134,1081,167,0,11,480,176,0,11,10,11,167,93,25,31,142,87,401,147,109,83,30,25,0,11,11,16,0,11,215,132,36,29,16,20,20,22,62,5,18,0,0,0,39,0,5,43
1400000US36047025100,3522,450,364,135,2621,408,118,136,128,70,0,11,210,172,81,60,20,23,61,47,"Census Tract 251, Kings County, New York",36,047,025100,3522,450,3119,447,307,126,2488,410,118,136,128,70,0,11,7,13,71,48,10,15,61,47,403,169,57,47,133,106,0,11,0,11,0,11,203,171,10,17,10,17,0,11,1269,121,833,0,99,0,185,31,87,274
1400000US36047055100,6138,639,4049,519,679,460,0,16,167,156,0,16,1100,515,143,93,0,16,143,93,"Census Tract 551, Kings County, New York",36,047,055100,6138,639,2750,350,2306,322,154,109,0,16,167,156,0,16,35,58,88,67,0,16,88,67,3388,716,1743,503,525,454,0,16,0,16,0,16,1065,500,55,62,0,16,55,62,845,540,105,0,41,0,147,12,278,432
1400000US36047006800,5290,473,3039,470,88,77,0,16,1019,348,0,16,828,422,316,238,0,16,316,238,"Census Tract 68, Kings County, New York",36,047,006800,5290,473,3673,469,2473,466,88,77,0,16,1019,348,0,16,13,20,80,71,0,16,80,71,1617,469,566,293,0,16,0,16,0,16,0,16,815,423,236,226,0,16,236,226,1567,823,24,0,584,0,114,22,638,299
1400000US36047040400,2451,278,1312,215,10,16,0,11,1011,283,5,8,107,91,6,8,0,11,6,8,"Census Tract 404, Kings County, New York",36,047,040400,2451,278,2188,299,1171,239,10,16,0,11,1001,286,0,11,0,11,6,8,0,11,6,8,263,154,141,120,0,11,0,11,10,17,5,8,107,91,0,11,0,11,0,11,365,179,0,0,107,5,74,0,174,84
1400000US36047101400,2240,203,88,43,1997,207,0,11,79,44,0,11,60,61,16,18,10,16,6,9,"Census Tract 1014, Kings County, New York",36,047,101400,2240,203,2148,208,78,42,1966,206,0,11,79,44,0,11,9,13,16,18,10,16,6,9,92,72,10,16,31,33,0,11,0,11,0,11,51,59,0,11,0,11,0,11,300,15,248,0,9,0,28,0,15,28
1400000US36047033700,3818,453,1490,447,1978,459,0,11,81,89,0,11,86,66,183,249,0,11,183,249,"Census Tract 337, Kings County, New York",36,047,033700,3818,453,3343,549,1407,456,1838,471,0,11,81,89,0,11,0,11,17,24,0,11,17,24,475,308,83,106,140,140,0,11,0,11,0,11,86,66,166,248,0,11,166,248,706,320,149,0,18,0,42,177,245,309
1400000US36047035100,4437,569,689,342,2863,540,10,15,93,128,0,11,450,276,332,288,0,11,332,288,"Census Tract 351, Kings County, New York",36,047,035100,4437,569,3844,527,689,342,2636,490,0,11,93,128,0,11,94,141,332,288,0,11,332,288,593,289,0,11,227,195,10,15,0,11,0,11,356,242,0,11,0,11,0,11,1686,537,636,10,72,0,109,322,537,127
1400000US36047049200,3637,541,1740,356,538,317,15,19,898,443,0,11,421,367,25,24,0,11,25,24,"Census Tract 492, Kings County, New York",36,047,049200,3637,541,3074,560,1626,345,510,316,15,19,898,443,0,11,0,11,25,24,0,11,25,24,563,340,114,62,28,31,0,11,0,11,0,11,421,367,0,11,0,11,0,11,1142,482,95,0,192,0,373,0,467,388
1400000US36047082400,4323,528,156,106,3743,459,0,11,28,31,0,11,273,302,123,91,67,73,56,53,"Census Tract 824, Kings County, New York",36,047,082400,4323,528,3756,486,92,91,3503,462,0,11,28,31,0,11,10,16,123,91,67,73,56,53,567,356,64,58,240,171,0,11,0,11,0,11,263,302,0,11,0,11,0,11,918,0,846,0,0,0,62,10,0,78
1400000US36047114201,1748,290,674,299,402,136,0,11,87,75,0,11,473,207,112,93,47,53,65,73,"Census Tract 1142.01, Kings County, New York",36,047,114201,1748,290,631,162,97,80,350,118,0,11,87,75,0,11,11,16,86,80,30,46,56,73,1117,273,577,275,52,54,0,11,0,11,0,11,462,207,26,29,17,27,9,9,360,76,79,0,0,0,169,36,1,254
1400000US36047025800,4225,611,2216,421,3,4,0,11,1490,423,0,11,490,356,26,30,0,11,26,30,"Census Tract 258, Kings County, New York",36,047,025800,4225,611,3548,454,1963,305,3,4,0,11,1490,423,0,11,66,102,26,30,0,11,26,30,677,404,253,240,0,11,0,11,0,11,0,11,424,339,0,11,0,11,0,11,1158,425,1,0,484,0,248,0,388,285
1400000US36047041600,2644,301,2145,308,54,83,0,11,162,129,0,11,270,254,13,19,13,19,0,11,"Census Tract 416, Kings County, New York",36,047,041600,2644,301,2298,257,2066,280,54,83,0,11,162,129,0,11,16,25,0,11,0,11,0,11,346,281,79,101,0,11,0,11,0,11,0,11,254,253,13,19,13,19,0,11,652,388,54,0,36,0,161,13,388,174
1400000US36047055800,2244,273,1750,276,0,11,0,11,462,248,0,11,32,50,0,11,0,11,0,11,"Census Tract 558, Kings County, New York",36,047,055800,2244,273,1939,238,1477,232,0,11,0,11,462,248,0,11,0,11,0,11,0,11,0,11,305,215,273,212,0,11,0,11,0,11,0,11,32,50,0,11,0,11,0,11,362,313,0,0,49,0,0,0,304,9
1400000US36047051001,4274,472,674,227,3119,476,14,24,47,60,0,11,356,223,64,59,12,19,52,57,"Census Tract 510.01, Kings County, New York",36,047,051001,4274,472,3625,457,472,132,3040,486,14,24,47,60,0,11,0,11,52,57,0,11,52,57,649,289,202,181,79,125,0,11,0,11,0,11,356,223,12,19,12,19,0,11,318,71,247,0,0,0,0,0,48,23
1400000US36047064400,2814,312,2075,304,29,26,0,11,572,221,0,11,104,105,34,35,19,30,15,16,"Census Tract 644, Kings County, New York",36,047,064400,2814,312,2484,324,1879,288,29,26,0,11,572,221,0,11,0,11,4,6,0,11,4,6,330,141,196,107,0,11,0,11,0,11,0,11,104,105,30,34,19,30,11,15,366,243,9,0,101,0,13,0,189,67
1400000US36047064800,1918,192,1060,204,621,230,0,11,131,81,0,11,72,97,34,33,0,11,34,33,"Census Tract 648, Kings County, New York",36,047,064800,1918,192,1649,178,1048,205,449,185,0,11,131,81,0,11,0,11,21,27,0,11,21,27,269,202,12,12,172,171,0,11,0,11,0,11,72,97,13,19,0,11,13,19,105,27,78,0,0,0,0,0,27,0
1400000US36047065200,1241,179,1084,184,18,28,0,11,118,93,0,11,0,11,21,29,0,11,21,29,"Census Tract 652, Kings County, New York",36,047,065200,1241,179,1228,180,1071,182,18,28,0,11,118,93,0,11,0,11,21,29,0,11,21,29,13,17,13,17,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,71,71,0,0,0,0,0,0,71,0
1400000US36047002100,4295,328,3426,294,181,151,0,11,382,131,0,11,93,66,213,111,21,30,192,106,"Census Tract 21, Kings County, New York",36,047,002100,4295,328,4013,299,3273,289,169,136,0,11,372,130,0,11,0,11,199,108,7,13,192,106,282,117,153,78,12,19,0,11,10,16,0,11,93,66,14,27,14,27,0,11,323,144,105,0,25,0,35,14,126,79
1400000US36047057100,3886,379,3680,359,36,58,0,11,87,65,0,11,23,37,60,56,0,11,60,56,"Census Tract 571, Kings County, New York",36,047,057100,3886,379,3772,387,3589,358,36,58,0,11,87,65,0,11,0,11,60,56,0,11,60,56,114,87,91,78,0,11,0,11,0,11,0,11,23,37,0,11,0,11,0,11,368,348,0,0,0,0,0,20,348,0
1400000US36047069200,2842,273,331,91,2249,262,0,11,101,89,6,9,95,54,60,60,29,38,31,51,"Census Tract 692, Kings County, New York",36,047,069200,2842,273,2661,282,302,83,2199,267,0,11,101,89,6,9,22,31,31,51,0,11,31,51,181,83,29,21,50,31,0,11,0,11,0,11,73,45,29,38,29,38,0,11,150,109,28,0,5,0,8,0,97,31
1400000US36047002300,4342,567,327,156,2518,508,47,76,610,332,75,112,691,401,74,55,42,45,32,29,"Census Tract 23, Kings County, New York",36,047,002300,4342,567,3075,525,42,42,2355,509,36,57,610,332,0,11,0,11,32,29,0,11,32,29,1267,400,285,150,163,124,11,19,0,11,75,112,691,401,42,45,42,45,0,11,2235,162,1235,47,172,75,510,34,0,846
1400000US36047015000,1642,274,1258,190,1,3,0,11,361,222,0,11,22,24,0,11,0,11,0,11,"Census Tract 150, Kings County, New York",36,047,015000,1642,274,1566,272,1232,184,1,3,0,11,333,220,0,11,0,11,0,11,0,11,0,11,76,63,26,37,0,11,0,11,28,41,0,11,22,24,0,11,0,11,0,11,146,58,1,0,70,0,17,0,58,45
1400000US36047017500,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,"Census Tract 175, Kings County, New York",36,047,017500,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,0,0,0,0,0,0,0,0,0
1400000US36047054500,7169,964,6025,990,725,411,0,16,0,16,0,16,404,251,15,25,0,16,15,25,"Census Tract 545, Kings County, New York",36,047,054500,7169,964,5659,1067,5062,1057,582,362,0,16,0,16,0,16,0,16,15,25,0,16,15,25,1510,609,963,516,143,118,0,16,0,16,0,16,404,251,0,16,0,16,0,16,3707,3172,287,0,0,0,233,15,2959,463
